horizon,MAE,RMSE,R2,MAPE
1,577.2248948356347,755.3438690433275,0.9854985254557486,512233358120.3998
2,495.1303429801673,645.2709837077481,0.9889761278205058,119432721881.6041
3,458.2219980250769,602.3825012297171,0.9908447670316872,5.813303728258849
4,591.7055732883555,845.4654915171368,0.9804426491670104,28.15386162581115
5,477.2874086628916,637.508541691628,0.9884249551980783,14.182534795538071
6,565.8977880928951,693.7779468131004,0.9817714209353876,12.890460606279252
7,586.6525039761793,787.3358108420402,0.9764262951549302,12.679921479229483
8,729.5075314153046,1025.242948476481,0.9560602216805946,13.713157372008688
9,821.4255228401213,1117.0209625278192,0.9504171942429385,6.421796757997552
10,689.3577739780318,941.9246757538276,0.9740306131497158,8.237823494145571
11,618.400504877016,785.107696595661,0.983716419199176,116.05849596236956
12,600.8706682107631,754.0029342221958,0.9821805276292053,63.100613640079615
13,631.4803350861187,840.3020453618699,0.9835298097252726,28.908616461460028
14,515.9580651047364,634.325103637256,0.989894896943096,913435430114.2921
