,solar_generation_mw,effective_irradiance,ghi_w_m2,cloud_factor,cell_temperature_c,temperature_factor,performance_ratio,capacity_factor
solar_generation_mw,1.0,0.9922106028048188,0.6454867124738932,0.9334613393730652,0.3647167419514903,-0.36471674195149356,,0.9999999884598937
effective_irradiance,0.9922106028048188,1.0,0.6815222645625671,0.9139612726815541,0.42370284008040215,-0.4237028400804047,,0.9922097210836963
ghi_w_m2,0.6454867124738932,0.6815222645625671,1.0,0.3940351771601423,0.7616046766285097,-0.761604676628509,,0.6454814133930366
cloud_factor,0.9334613393730652,0.9139612726815541,0.3940351771601423,1.0,0.14902584447875672,-0.14902584447875925,,0.9334619040895485
cell_temperature_c,0.3647167419514903,0.42370284008040215,0.7616046766285097,0.14902584447875672,1.0,-1.0,,0.36470927772626294
temperature_factor,-0.36471674195149356,-0.4237028400804047,-0.761604676628509,-0.14902584447875925,-1.0,1.0,,-0.3647092777262643
performance_ratio,,,,,,,,
capacity_factor,0.9999999884598937,0.9922097210836963,0.6454814133930366,0.9334619040895485,0.36470927772626294,-0.3647092777262643,,1.0
